,peak_vel_ms,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
SB061,9.434589409127712,-505.4782044454468,13.536344219960922,-0.4194000652040789,0.09689610137695025,5.670991153025052,-2.623981027326613,-1.1284733169228218,-1.0739592120232755,2.5770734334610896,1.1896511639116165,-0.3010885641844584,-2.4889024996608513,1.586708952780114,-0.8655519027465473,-0.9731675457937852
SB101,10.020741979437284,-148.34539431012618,43.54442084075314,21.479086462451924,-14.544366348055869,-1.689480177403246,-0.6338729827194136,2.6102454286429624,-0.4553801829750165,-0.29648575280102435,2.1031344760764012,1.1928790253025725,-0.7095365415805722,-0.5000887045363757,2.334511379416297,0.3477743482875515
SB102,7.983434694287586,-177.45323407409597,25.09786952713489,15.75961221880391,-6.068710651528477,-1.1795241311645919,0.9251023404221491,2.6761512974023556,0.7838104856354273,0.004668663034992052,-1.4033161061535473,0.49976152255652756,-0.6335443883775601,0.7131778235287687,-0.6763578684917531,3.259691137014094
SB110,7.781579206119987,-75.9724030659098,-8.146890803168604,-32.004107977879876,9.190295605004133,-4.076050662323681,-2.8280019457670837,2.4380501723371912,-3.7659800703672923,0.7396469786868032,1.3934035932685525,1.0407838014514328,-0.5204734880611002,-0.26198069428738263,-0.19869628270995704,-0.10667303188383384
SB111,8.983885377047828,-350.72591479670325,-8.6206944417306,2.1785240763226286,3.7472469647559143,-4.905625369437825,-4.108897419596093,-1.5991304403590572,2.216368910772957,-0.0688938849157286,1.2556838345119579,-0.4988496727411624,-0.08523083476454693,1.3214521523356846,-0.29213383555119316,-0.4855296570647253
SB112,9.022733134613441,135.39096403651982,13.946390619281239,1.7151410029181287,3.641167194858926,-2.8915275547285373,-0.7841764375605154,-0.5358157844025664,1.3408550894762183,1.187945028728648,0.2202496264887806,1.5973966190131337,0.03517450602953462,-0.7614610563368158,-0.035855758219668465,-0.16237222290109282
SB15,8.425852812499365,-282.8194135298601,-13.7818454611507,11.80473953276706,-1.7154390205553294,-0.015014485623770073,3.582517112606548,-1.0810557092935726,-1.803777203658393,-2.9201626830141536,0.021641020022197824,-0.21510710662611135,-0.9376502754945887,-0.24997307895914675,-1.3704364527864372,-0.6210580073157661
SB150,8.338030946857621,1115.6244077993947,-48.1016123432592,-31.55182294657317,-0.5506503208057729,-3.2265024887311236,0.818787859056103,-2.6203713722394686,-1.7870474817072164,-0.5266308441218819,-0.3063394677997103,-0.6221684318780758,-0.06492653150005177,1.3153611397281626,2.804296265542414,0.965997418199182
SB151,8.138280019066904,1173.4307680070433,18.813407266084617,8.543155804926455,-2.928390755337785,-4.565891549991076,2.885186050542661,-2.0405859564562565,1.9852075769892696,-0.13314782895548155,1.3819759199294717,1.8263243250375965,0.11566728188999109,-0.8437911599206709,-1.0185558476196852,-2.0012687451856723
SB153,7.591736470223553,-467.44672193459604,17.435811178805448,-48.90654644214731,1.6678202406058718,-0.48932352391104217,2.6975469725985346,-0.1351813242968069,2.0388319282622582,4.446067232176613,-0.9767747900580946,1.221600154138521,0.5776992333555476,-0.6309355964627265,0.7129641333624922,-0.23955092308872145
SB154,9.276405525289894,297.8141198392397,33.10986325102192,7.867935666721997,0.7132448221516441,2.430110677208372,-4.493497762277016,3.6294635288182477,-1.0810527462979709,0.86540069799968,-0.7048998691856159,0.16099709244507684,0.25123794668424065,-2.63414603142636,1.012467297479619,0.5012472936231497
SB155,9.345576969512257,517.8991286601902,40.896059428325664,1.0148830487368636,8.295649666171807,0.929027981814471,-1.8828114419060613,-3.1401233484806057,1.5104721306700666,-0.8022571143063799,-4.215506530463307,0.642576470495191,-1.5976812394741904,-1.6314917498697608,-0.234205807692427,-0.014797071107719533
SB16,8.621422047819747,-109.25158791532232,22.04620524120944,-7.776521459940193,1.224537498481477,4.935609485965472,4.206773715178612,2.3557279826386157,-0.3174641478940355,0.8271174529940374,-1.8038238128564519,-2.545165982727936,1.9955000974226105,-0.16900876284469188,1.0713035003820444,-1.3314016084647533
SB160,8.048714961534325,-217.55286704800517,12.273864619518882,-21.764520948040158,5.305354015717994,-0.2978594842564288,1.7944274197534815,-0.3552020929728888,-0.4810452803157784,1.7490856923139952,1.20880856990854,-2.2591436504520344,-1.4986024354850052,0.4482690504865067,-0.7592833707307551,0.8430092793759542
SB161,8.686146123584441,-480.1619551827788,-17.609326801062448,34.05915772195962,6.1469399681058094,3.3330921397176017,1.4204374519208043,-2.192159981328258,-1.794820210158502,0.9777452024780425,-0.7207849282497939,2.5941375798748925,-0.010273253077070905,1.7655867278594977,0.7015810717008226,0.7706749519038135
SB20,8.89427036585331,-401.6886663078325,7.262973897328258,-8.832880828945152,-1.8027046943035387,-4.138188843361054,0.776753991323241,1.3194978566427737,1.893636584416131,0.1762889452454455,-0.47426453298212196,-0.660179515180093,1.3685835919374014,1.8777562732579727,0.051838587680755645,0.657467883829486
SB202,7.004778069381533,-904.2223129457637,-125.07757097094499,-6.429238107231518,-4.070235248275001,0.22647860781879287,1.5724358329814192,1.5592688026596997,1.317597859902353,-1.1189495204648017,-1.1417770607773945,0.5179591759118495,-2.0996895374248976,-1.9955256692914176,0.945089200352508,-0.6060545888914208
SB23,8.221829186155208,1034.9928945232743,21.595180345208348,2.0400524931843727,6.623588424695355,0.11554132145501007,3.6537421938899044,1.6688601308587696,-2.1520195940344213,-2.344190348444954,-0.40609263856029415,-0.7735638984892137,-1.7292096465323283,0.48835224061625115,-0.28238458095176716,0.7094429255718832
SB25,8.506191870362132,-86.8922482975442,-33.02257488651554,-14.765438041372386,-0.10465965105743945,-0.4953222069347437,-1.9880456576612322,2.657139520005088,-1.3456687689148907,-1.635292727060768,0.9075157915274141,-1.242877201322139,1.5112107403277188,-0.47923521066992913,-1.525952160559044,-0.16576100865376706
SB26,9.213301569911875,-506.5292858982697,34.75362585177724,-28.13412220029399,-9.301041899418248,1.4858485714932215,-4.635275848404584,-4.778466550857536,-2.622720373761413,-3.27530816201698,-1.6957611071118357,0.15125427989449813,1.0061551551554608,0.6454742499407725,0.6970680813596475,-0.8388623160264921
SB50,9.809412984396964,-499.58147468270164,0.7462680532979996,-16.207333366018997,3.8749176138315335,4.986325346104878,0.447339771782838,-2.891334270038396,1.5933010871086046,-1.8536005980421202,3.7002388480008195,1.61162498768745,1.2235446579696654,-1.2992236698686759,-0.5835965952088176,1.7050973471255346
SB60,9.176101426530334,-383.7232783129977,35.36288339888751,-26.81603118045764,-9.015037512344147,0.3131923846705552,4.313460543535597,1.0755350447078726,0.5083937462858344,-1.4587412152573014,-0.8748707579660094,1.1550417430330249,0.1559894612428334,0.5215602899474391,-1.584620442093132,-0.28122546645432966
SB70,9.010254887173923,-420.24057988131307,-5.597068978426895,42.24721834748154,-2.0421991554188517,-1.7128073924522795,1.0840091528337368,-1.0842419029283301,-0.6598531861754627,1.8722182847482864,-0.6232772164783473,0.0010943226527626625,0.01950517867655011,1.0658027081223622,0.6028207539236886,-1.3648670108003658
SB73,9.213088052323199,37.317653631967225,10.47254318150353,3.786630745081158,6.514372901288977,2.1584051812103326,-2.776640059462899,3.2223262699491193,5.915154136914758,-3.148789053509069,0.37720277509064565,-1.0834910444358843,-0.7137453686185948,1.549415600531252,1.090771609373457,-0.7492659123032
SB74,8.935868505249166,-388.63619539380477,-3.385506216072623,29.600715691413527,-0.24588214060189978,-2.523694532983936,0.5805985000815663,-5.445064625933551,0.9339131757456282,0.7288027070540234,0.30674253838020155,-3.4808867249897952,0.7828351685290574,-1.9366977681845383,0.08937272989044119,1.3293079490997521
SB80,7.747758958911602,-250.54069422844825,-30.584970782940555,27.167550952658114,8.921358639348375,-1.9728727580249388,-1.1663592799470617,2.263345736070219,-1.3166224295076037,-0.5172605464588002,-2.0978066603442294,1.3271318985831426,2.619235867817445,0.32853448424098874,-0.9526671236162935,-0.03846780985344147
SB81,7.6860344021767695,-188.37287913055414,20.224022944292056,11.561804629677276,-5.164052441910785,-2.7039045797838908,-1.748374718272298,1.5219710080574065,-1.7246596397754363,1.0976801474882139,0.2656713149994251,-1.7020776437897565,-0.7205773703246637,-0.8167756860897996,-1.1033191005568617,-0.7559839168268051
SB82,9.883747973842755,280.22855418311264,13.213139808166462,18.358524921274256,6.561661757811324,2.6961932285657073,2.70386274719478,0.3200712387034005,-1.218723767713864,-0.5669772644024156,3.1252357391303485,-0.06351128709717312,0.9137632620790599,-0.36138010652028807,1.421121098465614,-0.8703985665910723
SB91,7.980373398487291,1137.7370109538558,-44.56769895187794,2.4274860841228083,-7.575166778275412,3.864514718173699,-1.7624033870808957,-0.10223675645750487,0.7701786665259946,1.6127697597091295,-0.06230409002187464,-0.022760944939703945,0.5159769139589281,0.4118749726885641,-1.0649969113793611,0.1717619091694717
SB92,7.949848405498946,1115.1998097474752,-45.83511303540642,1.995744163602825,-7.396514796317571,3.73825894388905,-2.03064368772024,-0.18821058452610595,0.7930729165750952,1.8041773176528515,0.05044435776228615,-0.0696913292241555,0.7179643472999819,0.5323882792042252,-0.9865916680161253,0.34523296600703834
