participant_id,max_velocity,height,n_strides,sex
SB061,7.157533359899491,0.6970795865873392,1,M
SB101,7.7921752382936305,0.7760376722234024,1,M
SB102,6.3653154113155175,0.5752376572867972,1,F
SB110,6.038231431834404,0.783754013641767,1,F
SB111,6.953341428037216,0.7458437443045826,1,M
SB112,7.043469029835121,0.8061828972357155,1,M
SB15,6.443422195353827,0.7130309739323427,1,F
SB150,6.645623888475409,0.7645573731953748,2,F
SB151,6.3440264229361,0.6898921203467335,1,F
SB154,7.154408476144667,0.7340110120708205,2,M
SB155,7.297915676027937,0.694714314110341,1,M
SB16,6.7977053416799205,0.6114551662605007,1,F
SB160,6.267979133437711,0.7516964558914653,1,F
SB161,6.602402888143679,0.6104984808836977,1,F
SB20,7.157689881827736,0.7655317461069739,1,M
SB202,5.4227287300685845,0.7293230131776872,2,F
SB25,6.566081955257683,0.8083087948460437,1,M
SB26,7.065170421022122,0.7003121749777071,1,M
SB50,7.502161297910721,0.7769565139112583,1,M
SB60,7.168980644245657,0.7294699919586206,1,M
SB70,6.915553412280753,0.7432235248560591,1,M
SB80,5.8186385270443175,0.7098229849046755,1,F
SB81,5.8503872746257635,0.6637328525130031,1,F
SB82,7.462865719598373,0.7630754853427655,1,M
SB91,6.15402918267252,0.6028252587306423,1,F
SB92,6.156790694385101,0.6024701995794982,1,F
