shortcut,reported,honest,inflation
top-3 univariate selection on all 30,0.2279387325388752,0.07204214144407084,0.15589659109480436
"exhaustive search, 1540 models",0.40273215321095013,-0.02025269585531997,0.4229848490662701
fPCA basis on all 30 (R/L),-0.22310418566296475,-0.18753681839769287,-0.035567367265271876
pre-specified knee ROM + height,0.2561220775382975,0.2561220775382975,0.0
