strides,n_strides,icc_above_075,icc_below_050,median_icc,mean_pct_of_peak,within_athlete_spread
5,150,16,1,0.8017537370255425,99.38515162436784,1.437837076357108
8,240,7,5,0.709996913830083,98.95768716218853,2.975121915989327
10,300,1,5,0.6397678973431821,98.3558750170493,5.740912773308039
all,497,0,12,0.3589405768198372,91.62535813947311,44.658058757283165
