model,loo_r2,rmse,mae
intercept only,-0.07015457788347135,0.7354537439945679,0.6191528703772065
height only,0.09729918377289504,0.6754668251140793,0.539035617209015
knee ROM (hi + lo),0.21968700736726698,0.6280099512233509,0.5144808588547917
knee ROM + height,0.2561220775382975,0.61317288408,0.4713494231345742
"all 22 scalars, ridge",-0.2270266150236182,0.7875154772399936,0.6382668774400877
